section_name,thickness,B_bottom,H,B_top,D,bottom_flange_angle,web_angle,top_flange_angle,lip_angle,r1,r2,r3
Model C 1.83 16g,0.06,1.06,1.83,2.03,0.38,0.0,90.0,0.0,-45.0,0.18,0.18,0.18
Model C 1.83 14g,0.071,1.06,1.83,2.03,0.38,0.0,90.0,0.0,-45.0,0.213,0.213,0.213
Model C 2.83 16g,0.06,1.06,2.83,2.25,0.25,0.0,90.0,0.0,-45.0,0.18,0.18,0.18
Model C 2.83 14g,0.071,1.06,2.83,2.25,0.25,0.0,90.0,0.0,-45.0,0.213,0.213,0.213
Model C 4.5 16g,0.06,1.06,4.5,2.25,0.25,0.0,90.0,0.0,-45.0,0.18,0.18,0.18
Model C 4.5 14g,0.071,1.06,4.5,2.25,0.25,0.0,90.0,0.0,-45.0,0.213,0.213,0.213
